"Dictionnaire de donnée
";;;;;;
"Table";"Colonne";"Type";"Contraintes";"Clé";"Description";
"auth_roles";"role_id";"serial";"NOT NULL";"PK";"Identifiant unique du rôle";
"auth_roles";"name";"varchar";"NOT NULL, UNIQUE";;"Nom du rôle (ex : Enseignant, Étudiant, Service Validateur, Administrateur)";
"auth_roles";"description";"text";"NOT NULL";;"Description du rôle de l'utilisateur dans le système";
"auth_roles";"max_active_bookings";"integer";"NOT NULL";;"Nombre maximum de réservations actives simultanées autorisées pour ce rôle";
"users";"user_id";"serial";"NOT NULL";"PK";"Identifiant unique de l'utilisateur";
"users";"username";"varchar";"NOT NULL, UNIQUE";;"Pseudo unique permettant à l'utilisateur de se connecter";
"users";"password";"varchar";"NOT NULL";;"Mot de passe hashé de l'utilisateur";
"users";"firstname";"varchar";"NOT NULL";;"Prénom de l'utilisateur";
"users";"lastname";"varchar";"NOT NULL";;"Nom de l'utilisateur";
"users";"email";"varchar";"NOT NULL, UNIQUE";;"Adresse email, utilisée pour la connexion et la réinitialisation du mot de passe";
"users";"phone";"varchar";"DEFAULT NULL";;"Numéro de téléphone (optionnel)";
"users";"enabled";"boolean";"NOT NULL, DEFAULT true";;"Indique si le compte est actif ";" permet de désactiver un compte sans le supprimer de la base"
"users";"role_id";"integer";"NOT NULL";"FK -> auth_roles.role_id";"Rôle associé à l'utilisateur";
"users";"disable_reason";"text";;;"Motif de la désactivation du compte, affiché à l'utilisateur s'il tente de se connecter";
"rooms";"room_id";"serial";"NOT NULL";"PK";"Identifiant unique de la salle";
"rooms";"name";"varchar";"NOT NULL";;"Nom ou numéro de la salle";
"rooms";"capacity";"integer";"NOT NULL";;"Nombre de places assises dans la salle (hors place de l'enseignant), capacité minimum requise pour une recherche";
"rooms";"description";"text";;;"Description libre de la salle";
"rooms";"location";"varchar";"NOT NULL";;"Localisation ou adresse de la salle";
"rooms";"bookable";"boolean";"NOT NULL, DEFAULT true";;"Indique si la salle est actuellement réservable (permet une désactivation temporaire, ex : travaux)";
"equipments";"equipment_id";"serial";"NOT NULL";"PK";"Identifiant unique de l'équipement";
"equipments";"name";"varchar";"NOT NULL, UNIQUE";;"Nom du matériel (ex : tableau blanc, projecteur, ordinateur)";
"room_equipments";"room_id";"integer";"NOT NULL";"PK, FK -> rooms.room_id";"Salle à laquelle l'équipement est associé";
"room_equipments";"equipment_id";"integer";"NOT NULL";"PK, FK -> equipments.equipment_id";"Équipement associé à la salle";
"room_equipments";"quantity";"integer";"NOT NULL, DEFAULT 1";;"Nombre d'unités de cet équipement présentes dans la salle";
"room_equipments";"usable";"boolean";"NOT NULL";;"Indique si l'équipement est actuellement utilisable (false = en maintenance, exclu des résultats de recherche filtrée)";
"periods";"period_id";"serial";"NOT NULL";"PK";"Identifiant unique du créneau";
"periods";"room_id";"integer";"NOT NULL";"FK -> rooms.room_id";"Salle à laquelle appartient le créneau";
"periods";"day_of_week";"smallint";"NOT NULL, CHECK entre 1 et 6";;"Jour du créneau (1 = lundi ... 6 = samedi)";
"periods";"time_start";"time";"NOT NULL";;"Heure de début du créneau";
"periods";"time_end";"time";"NOT NULL";;"Heure de fin du créneau";
"periods";"note";"varchar";;;"Note libre concernant le créneau";
"bookings";"booking_id";"serial";"NOT NULL";"PK";"Identifiant unique de la réservation";
"bookings";"user_id";"integer";"NOT NULL";"FK -> users.user_id";"Utilisateur ayant effectué la réservation";
"bookings";"period_id";"integer";"NOT NULL";"FK -> periods.period_id";"Créneau réservé, référence à la table periods";
"bookings";"booking_date";"date";"NOT NULL";;"Date à laquelle la salle est réservée";
"bookings";"start_time";"time";"NOT NULL";;"Heure de début de la réservation";
"bookings";"end_time";"time";"NOT NULL";;"Heure de fin de la réservation";
